Status,Epoch,Loss,Accuracy,Accuracy per class,Macro F1,Precision,Recall
training,0,1.2402480751276017,"tensor(0.6102, device='cuda:0')","[0, 0.7272727272727273, 1.0, -1, 1.0, -1, -1, -1, 1.0]",0.8888888888888888,0.8421052631578947,0.9411764705882353
training,1,1.1819012176245451,"tensor(0.5488, device='cuda:0')","[0, 0.3333333333333333, 0.6666666666666666, -1, 1.0, -1, -1, 0.0, 1.0]",0.7878787878787878,0.6842105263157895,0.9285714285714286
training,2,0.6840245322324335,"tensor(0.7929, device='cuda:0')","[0, 1.0, 0.8333333333333334, -1, 1.0, -1, -1, -1, 1.0]",0.9714285714285714,0.9444444444444444,1.0
training,3,0.4349455950316042,"tensor(0.6174, device='cuda:0')","[0, 1.0, 0.8333333333333334, 1.0, 0.75, -1, -1, 1.0, 1.0]",0.9473684210526315,0.9473684210526315,0.9473684210526315
training,4,0.2298167988890782,"tensor(0.9333, device='cuda:0')","[0, 1.0, 1.0, -1, 0.8333333333333334, -1, -1, -1, 1.0]",0.972972972972973,0.9473684210526315,1.0
training,5,0.15206986616831272,"tensor(0.9512, device='cuda:0')","[0, 1.0, 1.0, 1.0, 1.0, 1.0, -1, 1.0, 1.0]",1.0,1.0,1.0
training,6,0.10479940511286259,"tensor(0.9419, device='cuda:0')","[0, 1.0, 1.0, -1, 1.0, -1, -1, -1, 1.0]",0.9743589743589743,1.0,0.95
training,7,0.056522522727027534,"tensor(0.9597, device='cuda:0')","[0, 1.0, 1.0, -1, 1.0, -1, -1, 1.0, 1.0]",1.0,1.0,1.0
training,8,0.0636860110447742,"tensor(1., device='cuda:0')","[0, 1.0, 1.0, -1, 1.0, 1.0, -1, 1.0, 1.0]",1.0,1.0,1.0
training,9,0.08699843933572993,"tensor(0.9318, device='cuda:0')","[0, 1.0, 1.0, -1, 1.0, 1.0, -1, 1.0, 1.0]",1.0,1.0,1.0
training,10,0.07117903565522284,"tensor(1., device='cuda:0')","[0, 1.0, 1.0, -1, 1.0, 1.0, -1, 1.0, 1.0]",1.0,1.0,1.0
training,11,0.03568370775319636,"tensor(1., device='cuda:0')","[0, 1.0, 1.0, -1, 1.0, -1, -1, 1.0, 1.0]",1.0,1.0,1.0
training,12,0.063389584235847,"tensor(0.9882, device='cuda:0')","[0, 1.0, 1.0, -1, 1.0, 1.0, -1, -1, 1.0]",1.0,1.0,1.0
training,13,0.1073268037987873,"tensor(0.9357, device='cuda:0')","[0, 1.0, 1.0, -1, 1.0, -1, -1, 1.0, 1.0]",1.0,1.0,1.0
training,14,0.019583696086192502,"tensor(0.9861, device='cuda:0')","[0, 1.0, 1.0, -1, 1.0, 1.0, -1, 1.0, 1.0]",1.0,1.0,1.0
TIME TO TRAIN,411.86038875579834,0.019583696086192502,"tensor(0.7748, device='cuda:0')","[0, 0.75, 0.7272727272727273, 1.0, 1.0, -1, 0.0, 0.6666666666666666, 1.0]",0.8780487804878049,0.8181818181818182,0.9473684210526315
