Status,Epoch,Loss,Accuracy,Accuracy per class,Macro F1,Precision,Recall
validation,0,55.12662882730365,"[tensor(0.6908, device='cuda:0')]","[[0, 0.47619047619047616, 0.6666666666666666, -1, 1.0, 0.0, -1, -1, 1.0]]",[0.75],[0.6428571428571429],[0.9]
validation,1,41.17611309327185,"[tensor(0.6908, device='cuda:0'), tensor(0.7456, device='cuda:0')]","[[0, 0.47619047619047616, 0.6666666666666666, -1, 1.0, 0.0, -1, -1, 1.0], [0, 0.5882352941176471, 0.6666666666666666, -1, 1.0, -1, -1, 0.5, 1.0]]","[0.75, 0.8354430379746834]","[0.6428571428571429, 0.75]","[0.9, 0.9428571428571428]"
validation,2,35.71201921068132,"[tensor(0.6908, device='cuda:0'), tensor(0.7456, device='cuda:0'), tensor(0.7522, device='cuda:0')]","[[0, 0.47619047619047616, 0.6666666666666666, -1, 1.0, 0.0, -1, -1, 1.0], [0, 0.5882352941176471, 0.6666666666666666, -1, 1.0, -1, -1, 0.5, 1.0], [0, 0.6428571428571429, 0.7, 1.0, 1.0, 1.0, -1, 0.5, 1.0]]","[0.75, 0.8354430379746834, 0.8641975308641975]","[0.6428571428571429, 0.75, 0.7954545454545454]","[0.9, 0.9428571428571428, 0.9459459459459459]"
validation,3,31.68955844687298,"[tensor(0.6908, device='cuda:0'), tensor(0.7456, device='cuda:0'), tensor(0.7522, device='cuda:0'), tensor(0.7570, device='cuda:0')]","[[0, 0.47619047619047616, 0.6666666666666666, -1, 1.0, 0.0, -1, -1, 1.0], [0, 0.5882352941176471, 0.6666666666666666, -1, 1.0, -1, -1, 0.5, 1.0], [0, 0.6428571428571429, 0.7, 1.0, 1.0, 1.0, -1, 0.5, 1.0], [0, 0.6923076923076923, 0.6666666666666666, 1.0, 1.0, 1.0, -1, 0.6666666666666666, 1.0]]","[0.75, 0.8354430379746834, 0.8641975308641975, 0.8780487804878049]","[0.6428571428571429, 0.75, 0.7954545454545454, 0.8181818181818182]","[0.9, 0.9428571428571428, 0.9459459459459459, 0.9473684210526315]"
validation,4,33.00067949714139,"[tensor(0.6908, device='cuda:0'), tensor(0.7456, device='cuda:0'), tensor(0.7522, device='cuda:0'), tensor(0.7570, device='cuda:0'), tensor(0.7899, device='cuda:0')]","[[0, 0.47619047619047616, 0.6666666666666666, -1, 1.0, 0.0, -1, -1, 1.0], [0, 0.5882352941176471, 0.6666666666666666, -1, 1.0, -1, -1, 0.5, 1.0], [0, 0.6428571428571429, 0.7, 1.0, 1.0, 1.0, -1, 0.5, 1.0], [0, 0.6923076923076923, 0.6666666666666666, 1.0, 1.0, 1.0, -1, 0.6666666666666666, 1.0], [0, 0.75, 0.7272727272727273, 1.0, 1.0, -1, -1, 0.6666666666666666, 1.0]]","[0.75, 0.8354430379746834, 0.8641975308641975, 0.8780487804878049, 0.891566265060241]","[0.6428571428571429, 0.75, 0.7954545454545454, 0.8181818181818182, 0.8409090909090909]","[0.9, 0.9428571428571428, 0.9459459459459459, 0.9473684210526315, 0.9487179487179487]"
validation,5,37.674764996161684,"[tensor(0.6908, device='cuda:0'), tensor(0.7456, device='cuda:0'), tensor(0.7522, device='cuda:0'), tensor(0.7570, device='cuda:0'), tensor(0.7899, device='cuda:0'), tensor(0.7000, device='cuda:0')]","[[0, 0.47619047619047616, 0.6666666666666666, -1, 1.0, 0.0, -1, -1, 1.0], [0, 0.5882352941176471, 0.6666666666666666, -1, 1.0, -1, -1, 0.5, 1.0], [0, 0.6428571428571429, 0.7, 1.0, 1.0, 1.0, -1, 0.5, 1.0], [0, 0.6923076923076923, 0.6666666666666666, 1.0, 1.0, 1.0, -1, 0.6666666666666666, 1.0], [0, 0.75, 0.7272727272727273, 1.0, 1.0, -1, -1, 0.6666666666666666, 1.0], [0, 0.7692307692307693, 0.6666666666666666, 1.0, 1.0, 0.3333333333333333, -1, 0.5, 1.0]]","[0.75, 0.8354430379746834, 0.8641975308641975, 0.8780487804878049, 0.891566265060241, 0.8641975308641974]","[0.6428571428571429, 0.75, 0.7954545454545454, 0.8181818181818182, 0.8409090909090909, 0.813953488372093]","[0.9, 0.9428571428571428, 0.9459459459459459, 0.9473684210526315, 0.9487179487179487, 0.9210526315789473]"
validation,6,37.926291518379,"[tensor(0.6908, device='cuda:0'), tensor(0.7456, device='cuda:0'), tensor(0.7522, device='cuda:0'), tensor(0.7570, device='cuda:0'), tensor(0.7899, device='cuda:0'), tensor(0.7000, device='cuda:0'), tensor(0.7647, device='cuda:0')]","[[0, 0.47619047619047616, 0.6666666666666666, -1, 1.0, 0.0, -1, -1, 1.0], [0, 0.5882352941176471, 0.6666666666666666, -1, 1.0, -1, -1, 0.5, 1.0], [0, 0.6428571428571429, 0.7, 1.0, 1.0, 1.0, -1, 0.5, 1.0], [0, 0.6923076923076923, 0.6666666666666666, 1.0, 1.0, 1.0, -1, 0.6666666666666666, 1.0], [0, 0.75, 0.7272727272727273, 1.0, 1.0, -1, -1, 0.6666666666666666, 1.0], [0, 0.7692307692307693, 0.6666666666666666, 1.0, 1.0, 0.3333333333333333, -1, 0.5, 1.0], [0, 0.9230769230769231, 0.5, 1.0, 1.0, 0.0, -1, 0.5, 0.8888888888888888]]","[0.75, 0.8354430379746834, 0.8641975308641975, 0.8780487804878049, 0.891566265060241, 0.8641975308641974, 0.85]","[0.6428571428571429, 0.75, 0.7954545454545454, 0.8181818181818182, 0.8409090909090909, 0.813953488372093, 0.7906976744186046]","[0.9, 0.9428571428571428, 0.9459459459459459, 0.9473684210526315, 0.9487179487179487, 0.9210526315789473, 0.918918918918919]"
validation,7,38.581483548972756,"[tensor(0.6908, device='cuda:0'), tensor(0.7456, device='cuda:0'), tensor(0.7522, device='cuda:0'), tensor(0.7570, device='cuda:0'), tensor(0.7899, device='cuda:0'), tensor(0.7000, device='cuda:0'), tensor(0.7647, device='cuda:0'), tensor(0.7706, device='cuda:0')]","[[0, 0.47619047619047616, 0.6666666666666666, -1, 1.0, 0.0, -1, -1, 1.0], [0, 0.5882352941176471, 0.6666666666666666, -1, 1.0, -1, -1, 0.5, 1.0], [0, 0.6428571428571429, 0.7, 1.0, 1.0, 1.0, -1, 0.5, 1.0], [0, 0.6923076923076923, 0.6666666666666666, 1.0, 1.0, 1.0, -1, 0.6666666666666666, 1.0], [0, 0.75, 0.7272727272727273, 1.0, 1.0, -1, -1, 0.6666666666666666, 1.0], [0, 0.7692307692307693, 0.6666666666666666, 1.0, 1.0, 0.3333333333333333, -1, 0.5, 1.0], [0, 0.9230769230769231, 0.5, 1.0, 1.0, 0.0, -1, 0.5, 0.8888888888888888], [0, 0.8461538461538461, 0.625, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]]","[0.75, 0.8354430379746834, 0.8641975308641975, 0.8780487804878049, 0.891566265060241, 0.8641975308641974, 0.85, 0.8641975308641974]","[0.6428571428571429, 0.75, 0.7954545454545454, 0.8181818181818182, 0.8409090909090909, 0.813953488372093, 0.7906976744186046, 0.813953488372093]","[0.9, 0.9428571428571428, 0.9459459459459459, 0.9473684210526315, 0.9487179487179487, 0.9210526315789473, 0.918918918918919, 0.9210526315789473]"
validation,8,40.21811954374425,"[tensor(0.6908, device='cuda:0'), tensor(0.7456, device='cuda:0'), tensor(0.7522, device='cuda:0'), tensor(0.7570, device='cuda:0'), tensor(0.7899, device='cuda:0'), tensor(0.7000, device='cuda:0'), tensor(0.7647, device='cuda:0'), tensor(0.7706, device='cuda:0'), tensor(0.7962, device='cuda:0')]","[[0, 0.47619047619047616, 0.6666666666666666, -1, 1.0, 0.0, -1, -1, 1.0], [0, 0.5882352941176471, 0.6666666666666666, -1, 1.0, -1, -1, 0.5, 1.0], [0, 0.6428571428571429, 0.7, 1.0, 1.0, 1.0, -1, 0.5, 1.0], [0, 0.6923076923076923, 0.6666666666666666, 1.0, 1.0, 1.0, -1, 0.6666666666666666, 1.0], [0, 0.75, 0.7272727272727273, 1.0, 1.0, -1, -1, 0.6666666666666666, 1.0], [0, 0.7692307692307693, 0.6666666666666666, 1.0, 1.0, 0.3333333333333333, -1, 0.5, 1.0], [0, 0.9230769230769231, 0.5, 1.0, 1.0, 0.0, -1, 0.5, 0.8888888888888888], [0, 0.8461538461538461, 0.625, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0], [0, 0.8333333333333334, 0.625, 1.0, 1.0, 0.0, -1, 0.5, 0.9]]","[0.75, 0.8354430379746834, 0.8641975308641975, 0.8780487804878049, 0.891566265060241, 0.8641975308641974, 0.85, 0.8641975308641974, 0.8607594936708861]","[0.6428571428571429, 0.75, 0.7954545454545454, 0.8181818181818182, 0.8409090909090909, 0.813953488372093, 0.7906976744186046, 0.813953488372093, 0.7906976744186046]","[0.9, 0.9428571428571428, 0.9459459459459459, 0.9473684210526315, 0.9487179487179487, 0.9210526315789473, 0.918918918918919, 0.9210526315789473, 0.9444444444444444]"
validation,9,44.760315773193724,"[tensor(0.6908, device='cuda:0'), tensor(0.7456, device='cuda:0'), tensor(0.7522, device='cuda:0'), tensor(0.7570, device='cuda:0'), tensor(0.7899, device='cuda:0'), tensor(0.7000, device='cuda:0'), tensor(0.7647, device='cuda:0'), tensor(0.7706, device='cuda:0'), tensor(0.7962, device='cuda:0'), tensor(0.7612, device='cuda:0')]","[[0, 0.47619047619047616, 0.6666666666666666, -1, 1.0, 0.0, -1, -1, 1.0], [0, 0.5882352941176471, 0.6666666666666666, -1, 1.0, -1, -1, 0.5, 1.0], [0, 0.6428571428571429, 0.7, 1.0, 1.0, 1.0, -1, 0.5, 1.0], [0, 0.6923076923076923, 0.6666666666666666, 1.0, 1.0, 1.0, -1, 0.6666666666666666, 1.0], [0, 0.75, 0.7272727272727273, 1.0, 1.0, -1, -1, 0.6666666666666666, 1.0], [0, 0.7692307692307693, 0.6666666666666666, 1.0, 1.0, 0.3333333333333333, -1, 0.5, 1.0], [0, 0.9230769230769231, 0.5, 1.0, 1.0, 0.0, -1, 0.5, 0.8888888888888888], [0, 0.8461538461538461, 0.625, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0], [0, 0.8333333333333334, 0.625, 1.0, 1.0, 0.0, -1, 0.5, 0.9], [0, 0.9, 0.6, 1.0, 1.0, 0.25, -1, 0.6666666666666666, 0.8888888888888888]]","[0.75, 0.8354430379746834, 0.8641975308641975, 0.8780487804878049, 0.891566265060241, 0.8641975308641974, 0.85, 0.8641975308641974, 0.8607594936708861, 0.8607594936708861]","[0.6428571428571429, 0.75, 0.7954545454545454, 0.8181818181818182, 0.8409090909090909, 0.813953488372093, 0.7906976744186046, 0.813953488372093, 0.7906976744186046, 0.7906976744186046]","[0.9, 0.9428571428571428, 0.9459459459459459, 0.9473684210526315, 0.9487179487179487, 0.9210526315789473, 0.918918918918919, 0.9210526315789473, 0.9444444444444444, 0.9444444444444444]"
